date,ic_scores
2022-01-03,-0.3006068945316619
2022-01-04,-0.18566392627438172
2022-01-05,-0.10824253270893096
2022-01-06,-0.1869230220283065
2022-01-07,-0.053424214742747125
2022-01-10,0.017033360494843965
2022-01-11,0.05897210137121383
2022-01-12,-0.12275961619747651
2022-01-13,-0.2776778911192445
2022-01-14,0.05639103568359085
2022-01-18,0.15787283349519157
2022-01-19,-0.03712912601192682
2022-01-20,0.10260724330757762
2022-01-21,0.05473449111161648
2022-01-24,0.04941497290112844
2022-01-25,-0.09184093679301185
2022-01-26,0.15253033805047528
2022-01-27,0.05620105146987032
2022-01-28,0.07817436959755313
2022-01-31,-0.05975203189897248
2022-02-01,0.09616948137770626
2022-02-02,-0.05428681487171804
2022-02-03,-0.010323960210721196
2022-02-04,-0.17020549302186036
2022-02-07,-0.17051538010502262
2022-02-08,0.09326512996226469
2022-02-09,-0.16432393791545144
2022-02-10,-0.025832575379896413
2022-02-11,-0.0177387647900759
2022-02-14,-0.18539517699255958
2022-02-15,-0.16953143355250389
2022-02-16,-8.187099099727057e-05
2022-02-17,0.12039261620823254
2022-02-18,0.08514978648320957
2022-02-22,-0.09291651202146532
2022-02-23,0.07503118107939914
2022-02-24,0.2023230930669343
2022-02-25,-0.08462996616399715
2022-02-28,-0.14783987777137053
2022-03-01,0.17810730697825244
2022-03-02,0.029435099926548962
2022-03-03,0.0026391001281468795
2022-03-04,-0.04338090830629504
2022-03-07,0.020919465308820013
2022-03-08,0.09464847151119926
2022-03-09,-0.0873701155567698
2022-03-10,-0.09610276872301526
2022-03-11,0.052054377260074385
2022-03-14,0.1286299425448414
2022-03-15,0.06192941929583538
2022-03-16,0.17064999082268761
2022-03-17,-0.047900587488190045
2022-03-18,0.12278047568208576
2022-03-21,-0.03628642407750173
2022-03-22,0.006951673356678335
2022-03-23,-0.1523355214335745
2022-03-24,-0.0477135110265951
2022-03-25,0.20552194087642228
2022-03-28,0.07619299801246282
2022-03-29,0.08263892587062478
2022-03-30,-0.19452627092317024
2022-03-31,0.024584831463937407
2022-04-01,0.0682685389535791
2022-04-04,0.008702360348122454
2022-04-05,-0.010241234496338689
2022-04-06,-0.02820102618151671
2022-04-07,-0.0022377069392575093
2022-04-08,-0.05378673738517626
2022-04-11,-0.14460599874494529
2022-04-12,-0.09104556167650008
2022-04-13,-0.18545666033975505
2022-04-14,-0.16779882575910193
2022-04-18,0.13157120805247205
2022-04-19,0.07721853394922948
2022-04-20,0.04364631213097354
2022-04-21,-0.008479353819377306
2022-04-22,0.041222085270339784
2022-04-25,0.007384900071993056
2022-04-26,0.013235029894671029
2022-04-27,-0.00234289754372272
2022-04-28,-0.04613045400917718
2022-04-29,-0.010107646421951152
2022-05-02,-0.11558461822153507
2022-05-03,-0.12269373983903717
2022-05-04,-0.05501787632672654
2022-05-05,-0.020201605950404333
2022-05-06,0.01963173298712959
2022-05-09,0.1432352281717073
2022-05-10,0.1494511829035465
2022-05-11,0.02934216063286203
2022-05-12,0.03612100507584654
2022-05-13,0.10052316282699543
2022-05-16,-0.09702907320073968
2022-05-17,-0.12206065881735785
2022-05-18,-0.04526703501828942
2022-05-19,-0.06765683507609885
2022-05-20,0.06791302004283747
2022-05-23,0.08939039324434861
2022-05-24,0.04478665106825334
2022-05-25,-0.053139039175123304
2022-05-26,0.04118296564116997
2022-05-27,0.044448022392759565
2022-05-31,0.11840307597751364
2022-06-01,0.1169637593465927
2022-06-02,-0.07346064317599241
2022-06-03,-0.08254326364713896
2022-06-06,0.12554519250366372
2022-06-07,-0.06751117285973697
2022-06-08,-0.08751673222688489
2022-06-09,0.09130317389098215
2022-06-10,0.05068356077216972
2022-06-13,0.0932087899021783
2022-06-14,0.007610858424789366
2022-06-15,-0.025246743577052106
2022-06-16,0.03318633940422607
2022-06-17,0.12381039123859663
2022-06-21,0.05753950118340616
2022-06-22,-0.1098164139692911
2022-06-23,0.27923048802732797
2022-06-24,0.15754772620832141
2022-06-27,-0.00522794525143196
2022-06-28,0.14741585235873697
2022-06-29,0.018339988896196858
2022-06-30,0.0004262845087015045
2022-07-01,0.05868765589060241
2022-07-05,0.07667572506821461
2022-07-06,0.032826594778126744
2022-07-07,-0.009014387139854595
2022-07-08,-0.04150607999228378
2022-07-11,-0.011660884576439181
2022-07-12,0.04747057504610617
2022-07-13,-0.09597981108603505
2022-07-14,0.040834473472299446
2022-07-15,-0.10266837180470148
2022-07-18,-0.08987635260721627
2022-07-19,-0.017615033246959993
2022-07-20,0.04645575875589237
2022-07-21,-0.04731081285241108
2022-07-22,0.05202668098730963
2022-07-25,0.05390550653338886
2022-07-26,0.04047353664093282
2022-07-27,-0.02932608548450447
2022-07-28,0.011570401770038794
2022-07-29,-0.030912620408268098
2022-08-01,0.16735362427686545
2022-08-02,-0.02548753335558076
2022-08-03,-0.027910518554206697
2022-08-04,0.0982702602246955
2022-08-05,0.12517274107726714
2022-08-08,0.04658212264257881
2022-08-09,0.08623459599239301
2022-08-10,-0.11415182447530049
2022-08-11,0.07848636897425197
2022-08-12,0.08519813123621615
2022-08-15,0.058761666116992746
2022-08-16,0.06954559265864914
2022-08-17,-0.016692408845305175
2022-08-18,0.07790942909977819
2022-08-19,-0.04318911578439709
2022-08-22,0.0018713222686803075
2022-08-23,-0.11192459646496411
2022-08-24,0.053952687645438785
2022-08-25,-0.0419796921344909
2022-08-26,-0.012717015022982782
2022-08-29,-0.038329422614679365
2022-08-30,0.004618455571435395
2022-08-31,0.07203193595449178
2022-09-01,0.004241693037994392
2022-09-02,0.1016313059966586
